id,Name,Release_Year,user_rate
49887,Wuthering Heights,1939,
51578,Psycho,1960,
51987,2001: A Space Odyssey,1968,
51867,A Clockwork Orange,1971,
51818,The Godfather,1972,
51816,The Godfather: Part II,1974,
51600,One Flew Over the Cuckoo's Nest,1975,
51423,Annie Hall,1977,
51432,The Shining,1980,
38374,Possession,1981,
189483,Death of Yazdgerd,1982,
51633,Stranger Than Paradise,1984,
189481,The Tenants,1987,
49530,Beetlejuice,1988,
384557,Twin Peaks,1989,
51383,GoodFellas,1990,
50846,Misery,1990,
51723,Night on Earth,1991,
51688,Basic Instinct,1992,
38397,Naked,1993,
51942,Three Colours: Blue,1993,
51941,Three Colours: White,1994,
51444,Pulp Fiction,1994,
51949,L̩on: The Professional,1994,
51974,Before Sunrise,1995,
51345,Se7en,1995,
51497,Trainspotting,1996,
34150,Trees Lounge,1996,
46175,Perfect Blue,1997,
27256,The Truman Show,1998,
51518,The Matrix,1999,
49047,10 Things I Hate About You,1999,
51717,Eyes Wide Shut,1999,
51568,Fight Club,1999,
51097,American Psycho,2000,
51483,Requiem for a Dream,2000,
51910,Donnie Darko,2001,
51344,Shrek,2001,
50791,The Piano Teacher,2001,
51171,Mulholland Drive,2001,
51921,Spirited Away,2001,
51523,City of God,2002,
44963,Ju-on: The Grudge,2002,
45312,Memories of Murder,2003,
51565,Dogville,2003,
51898,Lost in Translation,2003,
51970,Before Sunset,2004,
2683,Eternal Sunshine of the Spotless Mind,2004,
21391,Fireworks Wednesday,2006,
48044,There Will Be Blood,2007,
955538,Hello FatherDog,2007,
51896,The Dark Knight,2008,
40892,Antichrist,2009,
34722,Inception,2010,
20956,Black Swan,2010,
319901,Saint Petersburg,2010,
6345,A Separation,2011,
4549,Melancholia,2011,
52512,The Master,2012,
69151,Silver Linings Playbook,2012,
102444,Before Midnight,2013,
97220,The Before... Collection,2013,
114563,Only Lovers Left Alive,2013,
145069,Hush! Girls Don't Scream,2013,
114564,Her,2013,
86114,The Wolf of Wall Street,2013,
181937,Nymphomaniac: Vol. I,2013,
174195,Nymphomaniac: Vol. II,2013,
171384,Whiplash,2014,
241348,I'm Not Angry!,2014,
503761,Lovely Trash,2014,
149857,Gone Girl,2014,
178123,The Lobster,2015,
218895,Love,2015,
296556,Sperm Whale,2015,
328692,Sound and Fury,2016,
347092,I am not Salvador,2016,
325584,Life and a Day,2016,
310795,The Salesman,2016,
257426,Arrival,2016,
270106,Nocturnal Animals,2016,
317613,Lantouri,2016,
326279,Lady Bird,2017,
389634,Sperm Whale: Roya's Selection,2017,
393376,My Brother Khosrow,2017,
335384,Phantom Thread,2017,
429387,Pig,2018,
435129,Shoplifters,2018,
332432,The House That Jack Built,2018,
337567,Ocean's Eight,2018,
672914,Chavosh from the Beginning to the End,2018,
511890,Law of Tehran,2019,
464735,The Dead Don't Die,2019,
460830,Portrait of a Lady on Fire,2019,
426406,Parasite,2019,
537194,Anima,2019,
422682,Marriage Story,2019,
444600,Jojo Rabbit,2019,
670507,The Badger,2020,
520171,Pleasure,2021,
357826,Annette,2021,
585258,The Worst Person in the World,2021,
753398,Hit the Road,2021,
471207,The French Dispatch,2021,
639559,Spencer,2021,
454008,The Many Saints of Newark,2021,
794510,House of Secrets: The Burari Deaths,2021,
800848,Holy Spider,2022,
866264,Leila's Brothers,2022,
905001,All the Beauty and the Bloodshed,2022,
398800,The Zone of Interest,2023,
829364,The Wonderful Story of Henry Sugar,2023,
710352,Poor Things,2023,
674137,Napoleon,2023,
